furniture_id,location_id,year,items_sold,competitor_price_index
1,LOC03,2037,1028,4144.9
4,LOC03,2037,1087,5363.0
9,LOC03,2037,2495,1093.0
11,LOC03,2037,1802,1504.8
28,LOC03,2037,492,2399.9
36,LOC03,2037,559,1979.2
41,LOC03,2037,611,1344.1
42,LOC03,2037,427,2967.2
43,LOC03,2037,861,845.4
44,LOC03,2037,740,1557.4
47,LOC03,2037,483,2343.2
51,LOC03,2037,1072,4378.7
54,LOC03,2037,1074,5702.1
59,LOC03,2037,2739,935.6
61,LOC03,2037,1561,1798.5
78,LOC03,2037,452,2560.7
86,LOC03,2037,553,2163.3
91,LOC03,2037,662,1199.5
92,LOC03,2037,397,3183.2
93,LOC03,2037,973,724.6
94,LOC03,2037,870,1346.8
97,LOC03,2037,514,2479.2
101,LOC03,2037,1027,4275.5
104,LOC03,2037,1088,6000.8
109,LOC03,2037,2056,1334.9
111,LOC03,2037,1596,1692.6
128,LOC03,2037,508,2247.8
136,LOC03,2037,595,1945.7
141,LOC03,2037,620,1234.7
142,LOC03,2037,400,2867.2
143,LOC03,2037,897,789.4
144,LOC03,2037,767,1419.5
147,LOC03,2037,548,2226.2
151,LOC03,2037,1069,3988.7
154,LOC03,2037,1009,5507.1
159,LOC03,2037,2654,998.3
161,LOC03,2037,1904,1448.1
178,LOC03,2037,491,2504.0
186,LOC03,2037,549,2029.4
191,LOC03,2037,640,1372.8
192,LOC03,2037,373,3046.5
193,LOC03,2037,967,757.5
194,LOC03,2037,761,1546.9
197,LOC03,2037,451,2382.8
201,LOC03,2037,1042,4659.2
204,LOC03,2037,994,5272.5
209,LOC03,2037,2374,1155.6
211,LOC03,2037,1766,1544.6
228,LOC03,2037,453,2638.3
236,LOC03,2037,593,2123.0
241,LOC03,2037,602,1301.1
242,LOC03,2037,361,3234.8
243,LOC03,2037,902,786.0
244,LOC03,2037,748,1545.9
247,LOC03,2037,477,2530.6
251,LOC03,2037,1092,4402.1
254,LOC03,2037,1061,5807.0
259,LOC03,2037,2293,1187.5
261,LOC03,2037,1891,1368.4
278,LOC03,2037,471,2524.5
286,LOC03,2037,557,1957.4
291,LOC03,2037,659,1195.4
292,LOC03,2037,355,3123.4
293,LOC03,2037,888,858.2
294,LOC03,2037,810,1427.4
297,LOC03,2037,474,2340.4
301,LOC03,2037,1066,4204.1
304,LOC03,2037,1019,6178.7
309,LOC03,2037,2466,1060.6
311,LOC03,2037,1734,1517.9
328,LOC03,2037,482,2585.3
336,LOC03,2037,611,1910.4
341,LOC03,2037,660,1205.9
343,LOC03,2037,793,896.4
344,LOC03,2037,739,1533.3
347,LOC03,2037,474,2606.5
351,LOC03,2037,1098,4717.4
354,LOC03,2037,1028,5624.6
359,LOC03,2037,2694,1013.6
361,LOC03,2037,1739,1637.2
378,LOC03,2037,484,2678.6
386,LOC03,2037,506,2224.3
393,LOC03,2037,922,713.8
394,LOC03,2037,771,1509.6
397,LOC03,2037,456,2640.7
401,LOC03,2037,1040,4282.6
404,LOC03,2037,1012,5748.2
409,LOC03,2037,2220,1253.9
411,LOC03,2037,1791,1568.7
428,LOC03,2037,444,2777.4
436,LOC03,2037,536,2103.7
441,LOC03,2037,556,1410.9
442,LOC03,2037,378,3479.5
443,LOC03,2037,957,795.3
444,LOC03,2037,680,1624.2
447,LOC03,2037,513,2266.1
451,LOC03,2037,1024,4854.2
454,LOC03,2037,1054,5392.5
459,LOC03,2037,2356,1146.8
461,LOC03,2037,1654,1646.1
478,LOC03,2037,486,2799.0
486,LOC03,2037,502,2269.9
491,LOC03,2037,664,1226.1
492,LOC03,2037,338,3506.6
493,LOC03,2037,752,913.5
494,LOC03,2037,645,1683.8
497,LOC03,2037,478,2406.1
