product_id,store_id,sale_year,quantity,online_search_volume,marketing_spend
1,LOC01,2032,371,290.6,598.9
4,LOC01,2032,390,284.6,312.75
9,LOC01,2032,1087,876.6,675.86
11,LOC01,2032,815,595.7,257.18
14,LOC01,2032,679,551.5,320.24
16,LOC01,2032,1419,1124.5,237.4
18,LOC01,2032,634,514.9,270.71
21,LOC01,2032,390,305.3,214.85
41,LOC01,2032,340,254.7,676.84
42,LOC01,2032,210,169.5,292.35
43,LOC01,2032,415,342.6,453.44
51,LOC01,2032,375,286.7,170.72
54,LOC01,2032,341,295.8,312.66
59,LOC01,2032,1202,981.8,600.49
61,LOC01,2032,617,482.9,2105.14
64,LOC01,2032,792,635.7,79.45
66,LOC01,2032,1332,1066.5,429.27
68,LOC01,2032,695,552.8,1846.68
71,LOC01,2032,352,295.9,1183.93
91,LOC01,2032,339,260.7,1528.45
92,LOC01,2032,176,170.9,206.71
93,LOC01,2032,455,374.2,277.84
101,LOC01,2032,354,300.4,1181.14
104,LOC01,2032,340,285.5,497.01
109,LOC01,2032,895,699.8,242.19
111,LOC01,2032,642,527.4,376.79
114,LOC01,2032,660,510.0,1359.04
116,LOC01,2032,1507,1150.2,176.27
118,LOC01,2032,905,735.8,157.28
121,LOC01,2032,384,303.4,2208.57
141,LOC01,2032,289,264.0,179.67
142,LOC01,2032,221,168.8,1034.21
143,LOC01,2032,474,357.6,333.86
151,LOC01,2032,362,297.5,189.82
154,LOC01,2032,366,279.2,198.05
159,LOC01,2032,1144,935.3,235.12
161,LOC01,2032,844,634.0,371.2
164,LOC01,2032,735,577.0,220.27
166,LOC01,2032,1564,1184.3,179.5
168,LOC01,2032,641,480.0,107.65
171,LOC01,2032,398,304.4,268.94
191,LOC01,2032,308,247.6,98.49
192,LOC01,2032,183,166.0,838.01
193,LOC01,2032,441,358.4,1037.41
201,LOC01,2032,338,297.8,200.22
204,LOC01,2032,348,292.3,254.46
209,LOC01,2032,986,824.6,1079.1
211,LOC01,2032,726,571.9,1001.08
214,LOC01,2032,613,449.3,1056.17
216,LOC01,2032,1440,1166.3,546.92
218,LOC01,2032,661,533.6,263.89
221,LOC01,2032,363,303.8,300.23
241,LOC01,2032,306,250.0,1784.38
242,LOC01,2032,212,166.5,553.86
243,LOC01,2032,486,347.6,221.55
251,LOC01,2032,368,292.3,758.3
254,LOC01,2032,346,291.6,560.67
259,LOC01,2032,1020,779.9,201.71
261,LOC01,2032,838,657.7,1941.31
264,LOC01,2032,683,531.9,879.6
266,LOC01,2032,1399,1131.6,667.96
268,LOC01,2032,702,556.8,726.83
271,LOC01,2032,395,309.7,143.38
291,LOC01,2032,345,261.3,661.79
292,LOC01,2032,198,169.2,274.14
293,LOC01,2032,438,341.7,212.07
301,LOC01,2032,334,287.3,70.92
304,LOC01,2032,370,292.4,184.28
309,LOC01,2032,1092,864.0,1020.56
311,LOC01,2032,768,603.7,174.16
314,LOC01,2032,713,611.8,7020.08
316,LOC01,2032,1457,1126.9,302.28
318,LOC01,2032,686,512.7,277.71
321,LOC01,2032,395,304.4,1153.36
341,LOC01,2032,342,256.5,131.53
343,LOC01,2032,424,327.3,699.79
351,LOC01,2032,356,291.4,331.99
354,LOC01,2032,359,287.0,1000.75
359,LOC01,2032,1153,929.3,371.19
361,LOC01,2032,645,550.1,399.76
364,LOC01,2032,684,565.8,198.47
366,LOC01,2032,1449,1159.1,1146.75
368,LOC01,2032,581,475.5,484.96
371,LOC01,2032,395,293.3,1814.88
393,LOC01,2032,461,365.8,1116.32
401,LOC01,2032,373,288.0,461.08
404,LOC01,2032,361,291.0,146.03
409,LOC01,2032,995,726.4,1082.89
411,LOC01,2032,711,570.8,677.65
414,LOC01,2032,579,471.7,882.51
416,LOC01,2032,1318,1102.7,118.19
418,LOC01,2032,688,528.6,1452.35
421,LOC01,2032,338,295.8,315.26
441,LOC01,2032,263,238.2,424.78
442,LOC01,2032,195,164.7,585.75
443,LOC01,2032,464,357.2,68.2
451,LOC01,2032,371,297.4,683.14
454,LOC01,2032,354,291.2,208.28
459,LOC01,2032,1048,812.5,474.09
461,LOC01,2032,674,518.1,136.03
464,LOC01,2032,705,578.9,1025.01
466,LOC01,2032,1396,1136.7,202.38
468,LOC01,2032,598,496.5,393.61
471,LOC01,2032,403,302.6,1101.04
491,LOC01,2032,342,258.0,924.68
492,LOC01,2032,198,163.2,476.11
493,LOC01,2032,374,309.3,764.36
