furniture_id,location_id,year,items_sold,online_search_volume,marketing_spend
1,LOC03,2031,285,237.2,4467.0
4,LOC03,2031,306,246.7,469.91
9,LOC03,2031,674,547.6,2321.22
11,LOC03,2031,468,410.0,551.2
28,LOC03,2031,222,183.0,220.36
36,LOC03,2031,277,213.2,354.04
41,LOC03,2031,317,239.8,1434.56
42,LOC03,2031,170,144.6,64.19
43,LOC03,2031,378,338.1,161.04
44,LOC03,2031,314,269.0,49.42
47,LOC03,2031,233,178.0,380.49
51,LOC03,2031,295,231.9,710.39
54,LOC03,2031,293,228.0,612.86
59,LOC03,2031,747,611.1,1320.67
61,LOC03,2031,462,343.7,439.34
78,LOC03,2031,234,181.5,268.01
86,LOC03,2031,241,190.0,305.04
91,LOC03,2031,297,261.9,411.56
92,LOC03,2031,175,152.1,479.0
93,LOC03,2031,473,373.9,89.63
94,LOC03,2031,397,304.0,269.63
97,LOC03,2031,206,178.8,534.78
101,LOC03,2031,298,229.5,971.85
104,LOC03,2031,311,240.0,203.92
109,LOC03,2031,572,457.4,1150.11
111,LOC03,2031,453,367.0,146.08
128,LOC03,2031,230,185.0,343.64
136,LOC03,2031,266,220.9,431.08
141,LOC03,2031,294,242.2,954.82
142,LOC03,2031,184,155.9,889.25
143,LOC03,2031,463,362.7,229.61
144,LOC03,2031,349,289.3,139.96
147,LOC03,2031,257,191.0,76.57
151,LOC03,2031,263,227.3,297.45
154,LOC03,2031,320,238.9,600.63
159,LOC03,2031,681,582.5,685.14
161,LOC03,2031,558,417.4,541.65
178,LOC03,2031,221,174.5,418.69
186,LOC03,2031,266,213.1,808.46
191,LOC03,2031,303,241.7,1003.55
192,LOC03,2031,181,144.8,1311.78
193,LOC03,2031,443,367.0,497.77
194,LOC03,2031,364,280.1,3212.72
197,LOC03,2031,220,189.6,577.79
201,LOC03,2031,291,238.5,72.89
204,LOC03,2031,288,237.0,685.83
209,LOC03,2031,686,513.5,553.74
211,LOC03,2031,513,388.1,376.0
228,LOC03,2031,222,166.6,69.29
236,LOC03,2031,257,199.0,4634.24
241,LOC03,2031,327,241.5,705.21
242,LOC03,2031,178,156.0,721.69
243,LOC03,2031,414,348.2,706.68
244,LOC03,2031,361,266.1,1120.81
247,LOC03,2031,207,173.7,3212.6
251,LOC03,2031,270,226.1,864.39
254,LOC03,2031,297,220.8,53.99
259,LOC03,2031,630,493.5,232.13
261,LOC03,2031,565,435.9,2950.92
278,LOC03,2031,236,177.9,260.53
286,LOC03,2031,295,216.9,176.44
291,LOC03,2031,319,259.9,305.67
292,LOC03,2031,198,142.7,1002.74
293,LOC03,2031,436,345.1,199.33
294,LOC03,2031,380,302.7,60.55
297,LOC03,2031,243,191.1,274.03
301,LOC03,2031,328,238.1,842.36
304,LOC03,2031,315,238.0,101.31
309,LOC03,2031,695,551.5,2088.85
311,LOC03,2031,527,405.8,154.02
328,LOC03,2031,205,173.2,2650.46
336,LOC03,2031,284,218.0,1055.45
341,LOC03,2031,305,249.4,248.7
343,LOC03,2031,447,332.5,245.36
344,LOC03,2031,331,275.9,480.84
347,LOC03,2031,236,181.4,328.04
351,LOC03,2031,325,232.8,624.91
354,LOC03,2031,264,230.0,276.49
359,LOC03,2031,740,573.4,174.57
361,LOC03,2031,496,381.3,1177.41
378,LOC03,2031,202,169.4,1114.2
386,LOC03,2031,221,190.3,223.66
393,LOC03,2031,431,371.4,276.51
394,LOC03,2031,360,273.9,1042.54
397,LOC03,2031,218,174.7,130.01
401,LOC03,2031,269,230.2,268.67
404,LOC03,2031,288,230.8,34.8
409,LOC03,2031,583,470.5,3346.85
411,LOC03,2031,483,382.3,775.93
428,LOC03,2031,208,169.0,246.8
436,LOC03,2031,224,206.6,365.72
441,LOC03,2031,304,230.9,636.15
442,LOC03,2031,162,139.5,196.77
443,LOC03,2031,437,363.2,290.23
444,LOC03,2031,312,257.1,176.92
447,LOC03,2031,237,185.8,66.12
451,LOC03,2031,313,230.4,391.74
454,LOC03,2031,283,228.1,823.11
459,LOC03,2031,658,522.4,742.66
461,LOC03,2031,471,360.0,720.96
478,LOC03,2031,209,167.1,278.94
486,LOC03,2031,211,190.1,668.82
491,LOC03,2031,369,255.6,146.01
492,LOC03,2031,197,151.1,170.88
493,LOC03,2031,391,315.4,4074.39
494,LOC03,2031,315,255.7,315.06
497,LOC03,2031,235,177.6,754.9
