item_code,branch_id,txn_year,units_sold,online_search_volume,marketing_spend
14,LOC02,2030,508,391.0,863.01
16,LOC02,2030,1033,843.3,1491.87
18,LOC02,2030,449,346.3,650.42
21,LOC02,2030,248,203.6,4051.8
28,LOC02,2030,194,150.7,474.27
31,LOC02,2030,149,132.4,190.85
32,LOC02,2030,161,147.7,632.86
33,LOC02,2030,185,128.5,1356.77
35,LOC02,2030,441,341.9,394.49
36,LOC02,2030,206,165.2,254.59
44,LOC02,2030,243,204.3,1796.43
47,LOC02,2030,203,144.3,44.31
64,LOC02,2030,603,455.5,284.36
66,LOC02,2030,980,794.9,1471.46
68,LOC02,2030,492,386.4,5921.12
71,LOC02,2030,240,195.5,645.99
78,LOC02,2030,203,144.9,785.13
81,LOC02,2030,165,134.7,438.9
82,LOC02,2030,192,153.7,153.77
83,LOC02,2030,142,126.7,336.46
85,LOC02,2030,383,327.0,475.76
86,LOC02,2030,215,159.9,636.62
94,LOC02,2030,283,223.2,446.47
97,LOC02,2030,197,146.7,293.23
114,LOC02,2030,462,365.6,192.43
116,LOC02,2030,1114,857.0,609.12
118,LOC02,2030,628,540.8,725.42
121,LOC02,2030,259,193.2,226.98
128,LOC02,2030,202,148.7,314.17
131,LOC02,2030,193,143.2,456.38
132,LOC02,2030,194,143.0,125.88
133,LOC02,2030,160,129.2,689.05
135,LOC02,2030,456,362.7,686.68
136,LOC02,2030,202,171.1,136.87
144,LOC02,2030,265,217.9,280.08
147,LOC02,2030,179,155.8,263.95
164,LOC02,2030,531,404.2,106.26
166,LOC02,2030,1167,885.5,1121.49
168,LOC02,2030,453,344.5,539.63
171,LOC02,2030,257,192.6,697.13
178,LOC02,2030,205,144.0,132.21
181,LOC02,2030,154,145.4,191.14
182,LOC02,2030,168,146.1,139.81
183,LOC02,2030,168,136.4,181.05
185,LOC02,2030,412,337.5,648.62
186,LOC02,2030,198,164.3,692.74
194,LOC02,2030,273,206.7,212.66
197,LOC02,2030,223,150.7,431.62
214,LOC02,2030,403,315.7,1101.38
216,LOC02,2030,1084,856.5,998.84
218,LOC02,2030,491,380.3,320.34
221,LOC02,2030,241,203.1,81.52
228,LOC02,2030,169,152.7,728.5
231,LOC02,2030,171,135.4,174.1
232,LOC02,2030,171,147.7,214.97
233,LOC02,2030,167,124.5,162.44
235,LOC02,2030,444,354.6,493.99
236,LOC02,2030,221,158.6,178.83
244,LOC02,2030,249,206.2,954.64
247,LOC02,2030,202,138.5,51.91
264,LOC02,2030,445,372.2,264.06
266,LOC02,2030,1023,834.6,1874.02
268,LOC02,2030,508,399.1,1212.09
271,LOC02,2030,229,193.7,285.34
278,LOC02,2030,200,141.8,1889.14
281,LOC02,2030,174,135.9,641.66
282,LOC02,2030,182,142.1,1452.96
283,LOC02,2030,141,129.0,461.73
285,LOC02,2030,434,361.9,312.67
286,LOC02,2030,191,178.6,416.2
294,LOC02,2030,294,227.2,569.07
297,LOC02,2030,195,152.7,447.36
314,LOC02,2030,547,436.4,1119.33
316,LOC02,2030,1017,839.4,2124.19
318,LOC02,2030,457,351.7,252.55
321,LOC02,2030,254,196.2,1797.75
328,LOC02,2030,187,143.7,165.72
331,LOC02,2030,194,133.8,91.92
332,LOC02,2030,187,138.4,1182.58
333,LOC02,2030,143,123.3,222.38
335,LOC02,2030,402,333.6,455.5
336,LOC02,2030,232,174.8,281.58
344,LOC02,2030,266,202.0,396.97
347,LOC02,2030,173,145.4,1054.73
364,LOC02,2030,484,392.0,3353.8
366,LOC02,2030,1108,858.2,715.5
368,LOC02,2030,401,327.5,640.35
371,LOC02,2030,224,193.5,329.42
378,LOC02,2030,193,142.7,268.31
381,LOC02,2030,171,137.5,113.77
382,LOC02,2030,188,138.4,657.6
383,LOC02,2030,185,126.8,174.65
385,LOC02,2030,445,349.5,115.17
386,LOC02,2030,192,167.1,2702.46
394,LOC02,2030,275,213.6,95.6
397,LOC02,2030,171,150.4,120.39
414,LOC02,2030,355,335.1,191.42
416,LOC02,2030,985,818.5,576.36
418,LOC02,2030,448,377.7,871.49
421,LOC02,2030,211,192.6,378.29
428,LOC02,2030,171,144.8,338.01
431,LOC02,2030,172,127.8,459.59
432,LOC02,2030,192,140.5,148.61
433,LOC02,2030,144,128.3,275.97
435,LOC02,2030,441,369.3,87.44
436,LOC02,2030,220,164.1,2104.14
444,LOC02,2030,244,187.6,442.14
447,LOC02,2030,213,160.1,1535.38
464,LOC02,2030,516,409.4,297.71
466,LOC02,2030,1018,837.2,262.27
468,LOC02,2030,444,344.5,510.29
471,LOC02,2030,261,195.4,282.01
478,LOC02,2030,170,145.7,90.63
481,LOC02,2030,165,128.2,364.36
482,LOC02,2030,175,138.6,225.99
483,LOC02,2030,158,134.0,490.28
485,LOC02,2030,410,329.4,26.16
486,LOC02,2030,217,156.8,257.01
494,LOC02,2030,223,193.6,407.84
497,LOC02,2030,187,153.6,4457.41
