product_id,store_id,sale_year,quantity,competitor_price_index
1,LOC01,2035,693,4146.2
4,LOC01,2035,708,5395.8
9,LOC01,2035,1985,1056.4
11,LOC01,2035,1443,1494.4
14,LOC01,2035,1311,1353.7
16,LOC01,2035,2656,534.1
18,LOC01,2035,1206,1543.7
21,LOC01,2035,735,2983.0
41,LOC01,2035,454,1323.2
42,LOC01,2035,320,3012.8
43,LOC01,2035,593,829.3
51,LOC01,2035,672,4377.5
54,LOC01,2035,656,5695.8
59,LOC01,2035,2368,941.3
61,LOC01,2035,1174,1755.1
64,LOC01,2035,1466,1179.5
66,LOC01,2035,2553,576.0
68,LOC01,2035,1394,1371.7
71,LOC01,2035,723,3308.3
91,LOC01,2035,508,1218.4
92,LOC01,2035,307,3222.7
93,LOC01,2035,656,728.8
101,LOC01,2035,682,4294.2
104,LOC01,2035,665,5972.6
109,LOC01,2035,1663,1297.9
111,LOC01,2035,1215,1679.3
114,LOC01,2035,1210,1472.7
116,LOC01,2035,2772,557.5
118,LOC01,2035,1702,1055.6
121,LOC01,2035,704,3460.3
141,LOC01,2035,463,1303.0
142,LOC01,2035,305,2859.3
143,LOC01,2035,631,794.3
151,LOC01,2035,702,4038.1
154,LOC01,2035,678,5517.5
159,LOC01,2035,2151,1027.8
161,LOC01,2035,1503,1433.0
164,LOC01,2035,1415,1290.6
166,LOC01,2035,2846,475.1
168,LOC01,2035,1150,1521.4
171,LOC01,2035,713,3150.9
191,LOC01,2035,411,1372.2
192,LOC01,2035,307,3052.5
193,LOC01,2035,659,741.1
201,LOC01,2035,653,4616.3
204,LOC01,2035,731,5259.4
209,LOC01,2035,1967,1149.6
211,LOC01,2035,1306,1561.9
214,LOC01,2035,1040,1707.8
216,LOC01,2035,2824,493.5
218,LOC01,2035,1209,1452.2
221,LOC01,2035,764,3337.1
241,LOC01,2035,496,1333.1
242,LOC01,2035,294,3265.9
243,LOC01,2035,632,823.6
251,LOC01,2035,711,4452.3
254,LOC01,2035,661,5772.2
259,LOC01,2035,1798,1204.9
261,LOC01,2035,1628,1370.9
264,LOC01,2035,1289,1427.5
266,LOC01,2035,2709,532.3
268,LOC01,2035,1294,1361.3
271,LOC01,2035,706,3225.8
291,LOC01,2035,461,1192.6
292,LOC01,2035,288,3116.3
293,LOC01,2035,564,829.7
301,LOC01,2035,750,4212.4
304,LOC01,2035,685,6169.5
309,LOC01,2035,2056,1082.4
311,LOC01,2035,1419,1516.4
314,LOC01,2035,1387,1250.8
316,LOC01,2035,2706,525.9
318,LOC01,2035,1248,1473.9
321,LOC01,2035,669,3573.4
341,LOC01,2035,465,1225.1
343,LOC01,2035,596,921.3
351,LOC01,2035,716,4723.2
354,LOC01,2035,684,5637.9
359,LOC01,2035,2164,1020.9
361,LOC01,2035,1337,1605.7
364,LOC01,2035,1349,1386.5
366,LOC01,2035,2787,485.1
368,LOC01,2035,1087,1603.2
371,LOC01,2035,709,3378.7
393,LOC01,2035,612,783.5
401,LOC01,2035,706,4234.1
404,LOC01,2035,730,5740.2
409,LOC01,2035,1784,1234.0
411,LOC01,2035,1354,1595.7
414,LOC01,2035,1075,1649.2
416,LOC01,2035,2499,544.2
418,LOC01,2035,1272,1481.4
421,LOC01,2035,740,3598.8
441,LOC01,2035,433,1442.5
442,LOC01,2035,258,3457.0
443,LOC01,2035,610,773.5
451,LOC01,2035,730,4862.1
454,LOC01,2035,708,5382.0
459,LOC01,2035,1884,1149.4
461,LOC01,2035,1292,1675.7
464,LOC01,2035,1394,1327.9
466,LOC01,2035,2613,561.3
468,LOC01,2035,1139,1571.4
471,LOC01,2035,765,3414.9
491,LOC01,2035,424,1250.4
492,LOC01,2035,287,3532.3
493,LOC01,2035,602,908.7
