furniture_id,location_id,year,items_sold,competitor_price_index
1,LOC03,2034,572,4117.2
4,LOC03,2034,508,5419.9
9,LOC03,2034,1290,1073.9
11,LOC03,2034,979,1463.6
28,LOC03,2034,331,2407.6
36,LOC03,2034,402,1943.6
41,LOC03,2034,461,1291.8
42,LOC03,2034,266,2982.6
43,LOC03,2034,609,811.4
44,LOC03,2034,502,1546.6
47,LOC03,2034,329,2311.5
51,LOC03,2034,577,4356.5
54,LOC03,2034,540,5716.7
59,LOC03,2034,1378,946.7
61,LOC03,2034,840,1799.1
78,LOC03,2034,327,2573.2
86,LOC03,2034,369,2181.3
91,LOC03,2034,495,1175.0
92,LOC03,2034,271,3153.1
93,LOC03,2034,672,698.0
94,LOC03,2034,586,1361.7
97,LOC03,2034,339,2478.1
101,LOC03,2034,538,4258.8
104,LOC03,2034,521,5948.8
109,LOC03,2034,1124,1297.4
111,LOC03,2034,873,1688.8
128,LOC03,2034,340,2288.7
136,LOC03,2034,398,1924.0
141,LOC03,2034,435,1248.4
142,LOC03,2034,285,2926.6
143,LOC03,2034,597,804.7
144,LOC03,2034,551,1418.2
147,LOC03,2034,374,2244.0
151,LOC03,2034,521,4017.7
154,LOC03,2034,547,5531.7
159,LOC03,2034,1409,1007.1
161,LOC03,2034,993,1422.8
178,LOC03,2034,336,2440.9
186,LOC03,2034,398,2030.8
191,LOC03,2034,418,1394.3
192,LOC03,2034,268,3039.9
193,LOC03,2034,662,713.0
194,LOC03,2034,505,1508.4
197,LOC03,2034,321,2377.2
201,LOC03,2034,539,4607.9
204,LOC03,2034,605,5306.5
209,LOC03,2034,1257,1151.8
211,LOC03,2034,900,1543.3
228,LOC03,2034,293,2612.7
236,LOC03,2034,337,2079.3
241,LOC03,2034,427,1285.3
242,LOC03,2034,258,3243.2
243,LOC03,2034,629,829.4
244,LOC03,2034,532,1586.8
247,LOC03,2034,333,2513.9
251,LOC03,2034,534,4431.3
254,LOC03,2034,544,5838.8
259,LOC03,2034,1182,1178.0
261,LOC03,2034,1048,1400.7
278,LOC03,2034,316,2527.4
286,LOC03,2034,419,1974.6
291,LOC03,2034,468,1187.5
292,LOC03,2034,273,3092.5
293,LOC03,2034,638,848.3
294,LOC03,2034,548,1343.3
297,LOC03,2034,356,2297.5
301,LOC03,2034,567,4188.3
304,LOC03,2034,542,6171.7
309,LOC03,2034,1325,1092.3
311,LOC03,2034,1009,1489.7
328,LOC03,2034,326,2570.8
336,LOC03,2034,370,1906.5
341,LOC03,2034,477,1269.9
343,LOC03,2034,571,903.2
344,LOC03,2034,544,1552.6
347,LOC03,2034,316,2558.3
351,LOC03,2034,591,4740.4
354,LOC03,2034,531,5640.4
359,LOC03,2034,1405,1045.2
361,LOC03,2034,925,1577.2
378,LOC03,2034,302,2701.9
386,LOC03,2034,337,2187.2
393,LOC03,2034,662,712.7
394,LOC03,2034,508,1518.5
397,LOC03,2034,337,2633.6
401,LOC03,2034,596,4266.6
404,LOC03,2034,554,5771.2
409,LOC03,2034,1094,1260.7
411,LOC03,2034,924,1550.9
428,LOC03,2034,315,2745.6
436,LOC03,2034,373,2070.5
441,LOC03,2034,424,1424.6
442,LOC03,2034,280,3502.7
443,LOC03,2034,617,785.5
444,LOC03,2034,512,1588.4
447,LOC03,2034,341,2283.0
451,LOC03,2034,513,4855.9
454,LOC03,2034,577,5404.9
459,LOC03,2034,1269,1108.9
461,LOC03,2034,872,1675.2
478,LOC03,2034,317,2810.0
486,LOC03,2034,319,2249.8
491,LOC03,2034,474,1223.3
492,LOC03,2034,268,3514.9
493,LOC03,2034,539,945.8
494,LOC03,2034,435,1693.4
497,LOC03,2034,352,2403.5
