product_id,store_id,sale_year,quantity,weather_index,foot_traffic
1,LOC01,2029,183,0.87,196.0
4,LOC01,2029,180,0.948,79.9
9,LOC01,2029,587,0.956,382.0
11,LOC01,2029,365,0.765,392.4
14,LOC01,2029,375,0.699,364.6
16,LOC01,2029,835,0.952,150.7
18,LOC01,2029,325,0.756,364.6
21,LOC01,2029,205,0.822,67.0
41,LOC01,2029,239,0.668,429.2
42,LOC01,2029,136,0.685,138.1
43,LOC01,2029,295,0.869,271.6
51,LOC01,2029,193,0.853,59.0
54,LOC01,2029,205,0.801,131.2
59,LOC01,2029,652,1.011,438.4
61,LOC01,2029,298,0.989,173.7
64,LOC01,2029,416,0.795,121.4
66,LOC01,2029,674,0.93,365.1
68,LOC01,2029,368,0.914,250.4
71,LOC01,2029,201,0.817,448.9
91,LOC01,2029,237,1.078,92.4
92,LOC01,2029,154,0.9,409.0
93,LOC01,2029,333,1.094,125.3
101,LOC01,2029,176,0.925,106.6
104,LOC01,2029,180,0.625,267.7
109,LOC01,2029,487,0.926,82.4
111,LOC01,2029,371,0.966,364.3
114,LOC01,2029,340,0.787,222.7
116,LOC01,2029,796,0.803,327.1
118,LOC01,2029,476,0.764,96.1
121,LOC01,2029,186,0.665,108.6
141,LOC01,2029,249,0.632,437.7
142,LOC01,2029,143,1.05,482.1
143,LOC01,2029,315,0.712,174.4
151,LOC01,2029,188,0.747,389.8
154,LOC01,2029,202,0.921,218.5
159,LOC01,2029,632,1.075,474.6
161,LOC01,2029,420,0.976,336.7
164,LOC01,2029,372,0.658,66.1
166,LOC01,2029,815,0.896,414.7
168,LOC01,2029,336,0.841,460.4
171,LOC01,2029,222,0.957,494.6
191,LOC01,2029,218,1.029,166.6
192,LOC01,2029,174,0.714,153.8
193,LOC01,2029,356,0.55,406.7
201,LOC01,2029,198,1.051,361.2
204,LOC01,2029,182,1.068,144.4
209,LOC01,2029,528,1.013,340.2
211,LOC01,2029,353,1.115,429.0
214,LOC01,2029,331,0.932,164.8
216,LOC01,2029,734,1.08,354.3
218,LOC01,2029,371,0.622,288.4
221,LOC01,2029,171,0.927,99.4
241,LOC01,2029,245,1.014,494.6
242,LOC01,2029,131,0.863,107.0
243,LOC01,2029,298,0.95,271.4
251,LOC01,2029,196,1.062,193.3
254,LOC01,2029,193,1.024,61.0
259,LOC01,2029,475,0.883,250.4
261,LOC01,2029,488,0.958,287.9
264,LOC01,2029,358,0.748,266.4
266,LOC01,2029,774,0.824,150.1
268,LOC01,2029,359,0.878,239.2
271,LOC01,2029,203,0.699,138.9
291,LOC01,2029,258,0.913,159.2
292,LOC01,2029,133,0.911,91.0
293,LOC01,2029,271,1.025,355.9
301,LOC01,2029,176,0.88,375.8
304,LOC01,2029,215,0.931,160.8
309,LOC01,2029,569,0.712,246.4
311,LOC01,2029,372,0.919,265.9
314,LOC01,2029,400,0.906,367.7
316,LOC01,2029,774,0.89,277.1
318,LOC01,2029,334,0.929,73.4
321,LOC01,2029,216,1.006,367.3
341,LOC01,2029,228,0.715,409.4
343,LOC01,2029,283,0.971,206.7
351,LOC01,2029,186,1.111,98.1
354,LOC01,2029,181,0.905,191.4
359,LOC01,2029,592,0.876,92.8
361,LOC01,2029,359,0.778,359.1
364,LOC01,2029,399,0.927,449.1
366,LOC01,2029,774,0.749,439.6
368,LOC01,2029,304,0.859,85.1
371,LOC01,2029,196,0.557,208.4
393,LOC01,2029,310,0.856,453.8
401,LOC01,2029,195,0.84,56.9
404,LOC01,2029,184,0.843,277.2
409,LOC01,2029,488,0.693,113.4
411,LOC01,2029,360,0.963,222.1
414,LOC01,2029,297,0.903,440.8
416,LOC01,2029,715,0.972,445.3
418,LOC01,2029,373,0.968,115.2
421,LOC01,2029,188,0.92,221.8
441,LOC01,2029,214,1.036,122.1
442,LOC01,2029,165,0.982,78.3
443,LOC01,2029,329,0.625,252.6
451,LOC01,2029,206,0.824,432.1
454,LOC01,2029,194,0.733,490.1
459,LOC01,2029,561,0.874,435.1
461,LOC01,2029,352,0.952,357.0
464,LOC01,2029,389,0.808,386.6
466,LOC01,2029,745,0.746,308.4
468,LOC01,2029,282,0.867,210.1
471,LOC01,2029,194,0.842,406.9
491,LOC01,2029,225,0.931,319.6
492,LOC01,2029,151,0.707,473.4
493,LOC01,2029,295,1.119,240.1
